STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/20/00,,,,,,,1.22,",,0",0,"P,,0",0,"P,,0",54,",,0",47,",,0",50,",,0",,,,,1,",,0",,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/21/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",59,",,0",39,",,0",40,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/22/00,,,,,,,1.7,",,0",0,"P,,0",0,"P,,0",50,",,0",31,",,0",35,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/23/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",60,",,0",32,",,0",48,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/24/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",57,",,0",40,",,0",46,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/25/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",68,",,0",38,",,0",50,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/26/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",66,",,0",38,",,0",41,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/27/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",65,",,0",35,",,0",42,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/28/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",70,",,0",39,",,0",52,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/29/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",68,",,0",40,",,0",42,",,0",,,,,,,,,,,,,,
